In file included from /virtual/main.c:1:
In file included from include/uapi/linux/ptrace.h:134:
In file included from arch/x86/include/asm/ptrace.h:5:
In file included from arch/x86/include/asm/segment.h:7:
arch/x86/include/asm/ibt.h:49:8: warning: 'nocf_check' attribute ignored; use -fcf-protection to enable the attribute [-Wignored-attributes]
extern __noendbr u64 ibt_save(void);
       ^
arch/x86/include/asm/ibt.h:20:34: note: expanded from macro '__noendbr'
#define __noendbr       __attribute__((nocf_check))
                                       ^
arch/x86/include/asm/ibt.h:50:8: warning: 'nocf_check' attribute ignored; use -fcf-protection to enable the attribute [-Wignored-attributes]
extern __noendbr void ibt_restore(u64 save);
       ^
arch/x86/include/asm/ibt.h:20:34: note: expanded from macro '__noendbr'
#define __noendbr       __attribute__((nocf_check))
                                       ^
2 warnings generated.
Tracing method calls in python process 172929... Ctrl-C to quit.
CPU PID    TID    TIME(us) METHOD
4   172929 173007 1.000    -> /usr/lib/python3.8/threading.py._bootstrap
4   172929 173007 1.000      -> /usr/lib/python3.8/threading.py._bootstrap_inner
4   172929 173007 1.000        -> /usr/lib/python3.8/threading.py._set_ident
4   172929 173007 1.000        <- /usr/lib/python3.8/threading.py._set_ident
4   172929 173007 1.000        -> /usr/lib/python3.8/threading.py._set_tstate_lock
4   172929 173007 1.000          -> /usr/lib/python3.8/threading.py.daemon
4   172929 173007 1.000          <- /usr/lib/python3.8/threading.py.daemon
4   172929 173007 1.000        <- /usr/lib/python3.8/threading.py._set_tstate_lock
4   172929 173007 1.000        -> /usr/lib/python3.8/threading.py._set_native_id
4   172929 173007 1.000        <- /usr/lib/python3.8/threading.py._set_native_id
4   172929 173007 1.000        -> /usr/lib/python3.8/threading.py.set
4   172929 173007 1.000          -> /usr/lib/python3.8/threading.py.__enter__
4   172929 173007 1.000          <- /usr/lib/python3.8/threading.py.__enter__
4   172929 173007 1.000          -> /usr/lib/python3.8/threading.py.notify_all
4   172929 173007 1.000            -> /usr/lib/python3.8/threading.py.notify
4   172929 173007 1.000              -> /usr/lib/python3.8/threading.py._is_owned
4   172929 173007 1.000              <- /usr/lib/python3.8/threading.py._is_owned
4   172929 173007 1.000            <- /usr/lib/python3.8/threading.py.notify
4   172929 173007 1.000          <- /usr/lib/python3.8/threading.py.notify_all
4   172929 173007 1.000          -> /usr/lib/python3.8/threading.py.__exit__
4   172929 173007 1.000          <- /usr/lib/python3.8/threading.py.__exit__
4   172929 173007 1.000        <- /usr/lib/python3.8/threading.py.set
4   172929 173007 1.000        -> /usr/lib/python3.8/threading.py.run
4   172929 173007 1.000          -> /usr/lib/python3.8/socketserver.py.process_request_thread
4   172929 173007 1.000            -> /usr/lib/python3.8/socketserver.py.finish_request
4   172929 173007 1.000              -> /usr/lib/python3.8/socketserver.py.__init__
4   172929 173007 1.000                -> /usr/lib/python3.8/socketserver.py.setup
4   172929 173007 1.000                  -> /usr/lib/python3.8/socket.py.makefile
4   172929 173007 1.000                    -> /usr/lib/python3.8/socket.py.__init__
4   172929 173007 1.000                    <- /usr/lib/python3.8/socket.py.__init__
4   172929 173007 1.000                    -> /usr/lib/python3.8/socket.py.readable
4   172929 173007 1.000                    <- /usr/lib/python3.8/socket.py.readable
4   172929 173007 1.000                  <- /usr/lib/python3.8/socket.py.makefile
4   172929 173007 1.000                  -> /usr/lib/python3.8/socketserver.py.__init__
4   172929 173007 1.000                  <- /usr/lib/python3.8/socketserver.py.__init__
4   172929 173007 1.000                <- /usr/lib/python3.8/socketserver.py.setup
4   172929 173007 1.000                -> /home/supiri/.local/lib/python3.8/site-packages/werkzeug/serving.py.handle
4   172929 173007 1.000                  -> /usr/lib/python3.8/http/server.py.handle
4   172929 173007 1.000                    -> /usr/lib/python3.8/http/server.py.handle_one_request
4   172929 173007 1.000                      -> /usr/lib/python3.8/socket.py.readinto
4   172929 173007 1.000                        -> /usr/lib/python3.8/socket.py.readable
4   172929 173007 1.000                        <- /usr/lib/python3.8/socket.py.readable
4   172929 173007 1.000                      <- /usr/lib/python3.8/socket.py.readinto
4   172929 173007 1.000                      -> /usr/lib/python3.8/http/server.py.parse_request
4   172929 173007 1.000                        -> /usr/lib/python3.8/http/client.py.parse_headers
4   172929 173007 1.000                          -> /usr/lib/python3.8/http/client.py._read_headers
4   172929 173007 1.000                          <- /usr/lib/python3.8/http/client.py._read_headers
4   172929 173007 1.000                          -> /usr/lib/python3.8/email/parser.py.__init__
4   172929 173007 1.000                          <- /usr/lib/python3.8/email/parser.py.__init__
4   172929 173007 1.000                          -> /usr/lib/python3.8/email/parser.py.parsestr
4   172929 173007 1.000                            -> /usr/lib/python3.8/email/parser.py.parse
4   172929 173007 1.000                              -> /usr/lib/python3.8/email/feedparser.py.__init__
4   172929 173007 1.000                                -> /usr/lib/python3.8/email/message.py.__init__
4   172929 173007 1.000                                <- /usr/lib/python3.8/email/message.py.__init__
4   172929 173007 1.000                                -> /usr/lib/python3.8/email/feedparser.py.__init__
4   172929 173007 1.000                                <- /usr/lib/python3.8/email/feedparser.py.__init__
4   172929 173007 1.000                              <- /usr/lib/python3.8/email/feedparser.py.__init__
4   172929 173007 1.000                              -> /usr/lib/python3.8/email/feedparser.py.feed
4   172929 173007 1.000                                -> /usr/lib/python3.8/email/feedparser.py.push
4   172929 173007 1.000                                  -> /usr/lib/python3.8/email/feedparser.py.pushlines
4   172929 173007 1.000                                  <- /usr/lib/python3.8/email/feedparser.py.pushlines
4   172929 173007 1.000                                <- /usr/lib/python3.8/email/feedparser.py.push
4   172929 173007 1.000                                -> /usr/lib/python3.8/email/feedparser.py._call_parse
4   172929 173007 1.000                                  -> /usr/lib/python3.8/email/feedparser.py._parsegen
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/feedparser.py._new_message
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/message.py.__init__
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/message.py.__init__
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/feedparser.py._new_message
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/feedparser.py.__iter__
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/feedparser.py.__iter__
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/feedparser.py.__next__
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/feedparser.py.readline
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/feedparser.py.readline
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/feedparser.py.__next__
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/feedparser.py.__next__
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/feedparser.py.readline
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/feedparser.py.readline
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/feedparser.py.__next__
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/feedparser.py.__next__
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/feedparser.py.readline
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/feedparser.py.readline
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/feedparser.py.__next__
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/feedparser.py.__next__
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/feedparser.py.readline
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/feedparser.py.readline
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/feedparser.py.__next__
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/feedparser.py._parse_headers
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/_policybase.py.header_source_parse
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/_policybase.py.header_source_parse
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/message.py.set_raw
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/message.py.set_raw
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/_policybase.py.header_source_parse
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/_policybase.py.header_source_parse
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/message.py.set_raw
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/message.py.set_raw
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/_policybase.py.header_source_parse
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/_policybase.py.header_source_parse
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/message.py.set_raw
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/message.py.set_raw
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/feedparser.py._parse_headers
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/message.py.get_content_type
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/message.py.get_default_type
4   172929 173007 1.000                                      <- /usr/lib/python3.8/email/message.py.get_default_type
4   172929 173007 1.000                                    <- /usr/lib/python3.8/email/message.py.get_content_type
4   172929 173007 1.000                                    -> /usr/lib/python3.8/email/message.py.get_content_maintype
4   172929 173007 1.000                                      -> /usr/lib/python3.8/email/message.py.get_content_type
4   172929 173007 1.000                                        -> /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                                        <- /usr/lib/python3.8/email/message.py.get
4   172929 173007 1.000                                        -> /usr/lib/python3.8/email/message.py.get_default_type
